text,favourite_count,retweet_count,created_at,polarity,Expression
RT @AlexWellstead: Straight from the horses mouth: Conservative candidate peddling misinformation that livestock dewormer is a Covid-19 rem…,0,154,2021-09-06 23:59:59,0.2,Positive
"RT @jjhorgan: For a 2nd year, we’re marking #LabourDay in a world shaped by COVID-19. These are challenging days, but we know British Colum…",0,41,2021-09-06 23:59:59,0.16666666666666666,Positive
RT @Elise_ekd: @DrKateTO Thanks so much for digging through and raising the issues. I hope journalists pick up on this.  It's a travesty th…,0,31,2021-09-06 23:59:58,0.2,Positive
"RT @Rob_Rogers: My cartoon from 8/27/21.

In some states ICU beds are almost completely filled with unvaccinated patients who have (surpris…",0,25,2021-09-06 23:59:57,0.4,Positive
"RT @TsaiBassen: Because they know, sickness is cause by taking sex drugs, dirty sex, raped children/dogs, aids, virus, germs, lick those ju…",0,1,2021-09-06 23:59:56,-0.6,Negative
"RT @TrendingNews_7: Unsupervised artificial intelligence predicts COVID-19 progression, survival rates based on CT scans - Radiology Busine…",0,66,2021-09-06 23:59:56,-0.6,Negative
"RT @MariolaPR: Integrated analysis of plasma and single immune cells uncovers metabolic changes in individuals with COVID-19

Pero dicen qu…",0,4,2021-09-06 23:59:56,-0.07142857142857142,Negative
"I am excited &amp; nervous to take a work-trip this week for a one day workshop on COVID-19 in South Asia @WatsonInstitute @Brown_SPH. I could not resist the opportunity to meet @ashishkjha and @ProfVarshney in person, and visit Brown U for the first time!
https://t.co/5nSoouYptl",96,2,2021-09-06 23:59:55,0.34375,Positive
"The U.S. is proud to announce our donation of 250,320 doses of the Moderna COVID-19 vaccine to the people of the Democratic Republic of Congo, in collaboration with the @_AfricanUnion via @gavi #COVAX. We are committed to supporting our AU partners against the threat of COVID-19. https://t.co/QFDO8yZc8A",232,52,2021-09-06 23:59:53,0.525,Positive
RT @PeelSchools: Back-to-school season can be an overwhelming time and the additional challenges of COVID-19 can only intensify that stress…,0,17,2021-09-06 23:59:52,0.25,Positive
"RT @StevenDelDuca: Today we celebrate workers who each and every single day keep Ontario moving forward, including frontline essential work…",0,36,2021-09-06 23:59:51,-0.03571428571428571,Negative
"RT @TrendingNews_7: Unsupervised artificial intelligence predicts COVID-19 progression, survival rates based on CT scans - Radiology Busine…",0,66,2021-09-06 23:59:51,-0.6,Negative
RT @JCBua: This is Literally the Most Breathtaking Article I’ve Ever Read About The Ravages Of COVID. Please Read &amp; Share! 😷💉 #GetVaxxed  h…,0,795,2021-09-06 23:59:49,0.75,Positive
"RT @VicGovDH: Reported yesterday: 246 new local cases and 0 new cases acquired overseas. 
- 32,300 vaccine doses were administered 
- 43,85…",0,326,2021-09-06 23:59:48,0.0909090909090909,Positive
RT @DrEricDing: NEW—Apparently Texas is not reporting the age of #COVID19 patients for 97% of total confirmed cases. Every other state does…,0,1173,2021-09-06 23:59:47,0.09166666666666667,Positive
"RT @TrendingNews_7: Unsupervised artificial intelligence predicts COVID-19 progression, survival rates based on CT scans - Radiology Busine…",0,66,2021-09-06 23:59:47,-0.6,Negative
RT @drsanjaygupta: Another reason to get vaccinated: being fully vaccinated reduces odds of long-term Covid-19 symptoms by half https://t.c…,0,536,2021-09-06 23:59:47,-0.16666666666666666,Negative
RT @NursingNotesUK: It is with great sadness we announce that nurse Veronica Guy has sadly died from COVID-19. Colleagues said that Veronic…,0,1112,2021-09-06 23:59:45,0.15000000000000002,Positive
RT @WHOPhilippines: Around 80% of people who become infected with COVID-19 only develop mild symptoms &amp; recover w/o any special medical tre…,0,43,2021-09-06 23:59:45,0.17261904761904762,Positive
"RT @JamesMelville: First it was Denmark 🇩🇰 and now Ireland 🇮🇪 

Ireland plans to drop almost all Covid restrictions and ditch vaccine passp…",0,1193,2021-09-06 23:59:43,0.25,Positive
"RT @Calendula2016: @Phayd2Blaque @Frances40996115 Another more recent article on risks of pandemics with animal agriculture.
https://t.co/U…",0,1,2021-09-06 23:59:43,0.25,Positive
RT @CNN: A new study of breakthrough Covid-19 infections finds that vaccines not only reduce the risk of severe disease and hospitalization…,0,1452,2021-09-06 23:59:43,0.06818181818181818,Positive
RT @AndrewOporto_: Canada’s new social credit system is coming! #Elxn44 #Covid_19 #VaccinePassports #PPC #MaximeBernier #TrudeauMustGo #Can…,0,282,2021-09-06 23:59:43,0.0890151515151515,Positive
"RT @TrendingNews_7: Unsupervised artificial intelligence predicts COVID-19 progression, survival rates based on CT scans - Radiology Busine…",0,66,2021-09-06 23:59:42,-0.6,Negative
RT @DCHealthDept_NC: We will offer all 3 COVID-19 Vaccines this week!  Please see the graphic for more information regarding eligibility!…,0,5,2021-09-06 23:59:39,0.25,Positive
RT @TheBlockNZ: Due to the current Covid-19 Alert Levels we've made the difficult decision to postpone The Block NZ Live Auction Final. We’…,0,1,2021-09-06 23:59:37,-0.09772727272727273,Negative
"RT @JamaicaGleaner: Incarcerated dancehall artiste Adidja Palmer, more popularly known as @Vybz_Kartel, is doing well after receiving his f…",0,180,2021-09-06 23:59:35,0.55,Positive
"RT @ztsamudzi: THIS is where to invoke the Nuremberg Code, not anti-vaxxers moaning about getting an “unauthorized vaccine” with “unknown i…",0,694,2021-09-06 23:59:35,-0.1,Negative
"RT @ActionTime: B.C. teachers, parents want data on COVID-19 in schools to be publicly available https://t.co/fY8afiJD3j",0,1,2021-09-06 23:59:34,0.4,Positive
"RT @GrantCardone: DISTRACTED by vaccines, covid 19, Delta, Mu &amp; Mask and The greatest wealth transfer in the history of the world takes pla…",0,810,2021-09-06 23:59:34,1.0,Positive
"RT @sydneyhimalaya: 請簽字！為我們、為孩子、為人類！
https://t.co/CrUOphYouJ
  
Petition EN3046 - Immediately Stop COVID-19 Vaccines for children aged 12-1…",0,108,2021-09-06 23:59:33,-0.1,Negative
"RT @VicGovDH: Reported yesterday: 246 new local cases and 0 new cases acquired overseas. 
- 32,300 vaccine doses were administered 
- 43,85…",0,326,2021-09-06 23:59:33,0.0909090909090909,Positive
"A clear, informative article from @JHowardBrainMD 

Essential reading for anybody concerned about the relative risks to teens of vaccination vs. actually contracting Covid-19. 

#VaccinesWork #VaccinesSaveLives https://t.co/dUcKker7gS",1,0,2021-09-06 23:59:32,0.025000000000000005,Positive
"RT @ChinyereNwonye: For those who took the first dose of the AstraZeneca vaccine, on or before July 8th, kindly visit the nearest health fa…",0,90,2021-09-06 23:59:30,0.425,Positive
@TheLivingKira @Oldgloryfighter Good news though - studies are ongoing: https://t.co/W1mdpe3bL5,0,0,2021-09-06 23:59:29,0.7,Positive
"RT @DOHgovph: and colleagues to get vaccinated when it's their turn! Let's do the ""A"" step now! 

The vaccines are safe, effective, and fre…",0,3,2021-09-06 23:59:28,0.55,Positive
@MeekMill All entertainers say that … to bad we can’t unite to support our creative talent before they gone in this COVID-19 world…,1,0,2021-09-06 23:59:28,-0.09999999999999992,Negative
RT @bearcatsports: Lincoln-Northwest football canceled due to COVID-19 protocols #OABAAB https://t.co/nWCkccA3YL,0,32,2021-09-06 23:59:27,-0.125,Negative
RT @AmyA1A: The AP reported that 70% of recent calls to the Mississippi Poison Control Center were from people who had ingested ivermectin…,0,3176,2021-09-06 23:59:26,-0.05,Negative
"RT @VicGovDH: Reported yesterday: 246 new local cases and 0 new cases acquired overseas. 
- 32,300 vaccine doses were administered 
- 43,85…",0,326,2021-09-06 23:59:23,0.0909090909090909,Positive
RT @Potatopolitics: America seems proud to be the country with most covid 19 deaths because 10 rich people doubled their bank accounts whil…,0,4282,2021-09-06 23:59:21,0.5583333333333333,Positive
"RT @TheEconomist: According to a new poll, Americans’ continuing scepticism of covid-19 vaccines now makes it an outlier among other rich W…",0,45,2021-09-06 23:59:19,0.12878787878787878,Positive
RT @kprather88: Most docs wear N95s when seeing potential COVID patients and remove them after they leave room. The virus hovers in rooms f…,0,2900,2021-09-06 23:59:17,0.25,Positive
"RT @TitusNation: The man is actively killing people. @GovRonDeSantis is peak Florida.

The COVID-19 crisis in Florida continues to spin wil…",0,42,2021-09-06 23:59:15,-0.13333333333333333,Negative
Lol is this the same drug such opposition leader said could be used to fight Covid-19? https://t.co/cEACy7hF34,1,0,2021-09-06 23:59:13,0.26666666666666666,Positive
@narendramodi Fake antigen test are going on.  And the most worst things is the email id available at the website of Ministry of health and family welfare for complaint on Covid-19 is an inactive (deactivated) email id.,1,0,2021-09-06 23:59:11,-0.18,Negative
RT @Laurie_Garrett: When @SenRandPaul said it was better to catch #COVID19 than get #vaccinated I knew that flew in the face of all evidenc…,0,768,2021-09-06 23:59:10,0.5,Positive
RT @MimiProbably: Erin O'Toole said Jason Kenney handled COVID-19 better than any other premier. Has anyone reminded him of this? Shown him…,0,88,2021-09-06 23:59:09,0.1875,Positive
RT @ACharityHudley: Happy #LaborDay y'all! Covid-19 has truly recharged our persistent need to focus on our safety &amp; rights while at work.…,0,10,2021-09-06 23:59:06,1.0,Positive
"RT @andrewdkaufman: For better or for worse, the educational landscape is changing in response to COVID-19. Let's discuss the impact on stu…",0,8,2021-09-06 23:59:05,0.11666666666666665,Positive
RT @CP24: #BREAKING: Ontario reports nearly 900 new COVID-19 infections; highest number of unvaccinated cases since province started disclo…,0,309,2021-09-06 23:59:05,0.11818181818181818,Positive
RT @AmyA1A: The AP reported that 70% of recent calls to the Mississippi Poison Control Center were from people who had ingested ivermectin…,0,3176,2021-09-06 23:59:05,-0.05,Negative
"RT @NikkiFried: Latest Florida data from @HHSGov:

13,773 people are hospitalized with COVID-19 (-155 from yesterday) and 3,223 are in ICU…",0,935,2021-09-06 23:59:04,0.5,Positive
"RT @WestcoastBCLife: “His comment came after the Straight emailed him a statement from the Ministry of Health, which insisted that “physica…",0,14,2021-09-06 23:59:03,0.2,Positive
"Dallas-Fort Worth out of ICU beds for children as surge in COVID-19 cases continues, group says
Dallas County reported 1,009 new coronavirus cases Thursday; Tarrant County added 815.",0,0,2021-09-06 23:59:03,0.21818181818181817,Positive
"RT @AinsworthKeith: CNN headline when Trump was president

Past vaccine disasters show why rushing a Covid-19 vaccine now would be 'colossa…",0,56,2021-09-06 23:58:59,-0.25,Negative
"RT @NjbBari3: @suss_mark Last year he let down HCW in the whole country by failing to recognise #COVIDisAirborne. 

This year he is a dead…",0,6,2021-09-06 23:58:58,0.014814814814814808,Positive
"RT @VicGovDH: Reported yesterday: 246 new local cases and 0 new cases acquired overseas. 
- 32,300 vaccine doses were administered 
- 43,85…",0,326,2021-09-06 23:58:57,0.0909090909090909,Positive
"Now instead of simply relying on natural immunity from prior infection, they want to convince you that a Vax is needed.

Forbes: 36% Of Those Who Had Covid-19 Didn’t Develop Antibodies, Study Says.
https://t.co/OkwdubxhIB

via @GoogleNews",1,1,2021-09-06 23:58:56,0.03333333333333333,Positive
"RT @VicGovDH: Reported yesterday: 246 new local cases and 0 new cases acquired overseas. 
- 32,300 vaccine doses were administered 
- 43,85…",0,326,2021-09-06 23:58:56,0.0909090909090909,Positive
"VICTORIA
COVID-19 (7 DAY AVERAGE)
7-09-2021
======== https://t.co/uj5oKgnTNN",6,0,2021-09-06 23:58:54,-0.15,Negative
RT @Honestly331: American Scientists Confirm Experimental COVID-19 Jabs Contain Graphene Oxide &amp; Other Horrific Ingredients - DAILY NEWS OF…,0,1,2021-09-06 23:58:54,-0.205,Negative
"RT @smh: Victoria has recorded 246 new local COVID-19 cases for the second day in a row, as general practitioners warn nobody should be wai…",0,11,2021-09-06 23:58:52,0.04659090909090909,Positive
"RT @kylegriffin1: Texas schools have amassed more than 50,000 confirmed COVID cases in students in just a couple of weeks. More than a doze…",0,3837,2021-09-06 23:58:51,0.4666666666666666,Positive
RT @Laurie_Garrett: When @SenRandPaul said it was better to catch #COVID19 than get #vaccinated I knew that flew in the face of all evidenc…,0,768,2021-09-06 23:58:48,0.5,Positive
"RT @TomthunkitsMind: Anti-vaxxers protest the vaccine outside a hospital in Texas while we average over 100,000 new COVID-19 cases a day
ht…",0,893,2021-09-06 23:58:48,-0.004545454545454547,Negative
"RT @KUSINews: Marine Giorgio Kirylo calls out @NathanFletcher saying, ""what you are doing right now, trampling on our rights, invalidates e…",0,98,2021-09-06 23:58:45,0.2857142857142857,Positive
"RT @SMazilazila: Dear @CyrilRamaphosa
It's not our money that we are donating for Zuma's legal fees...it's government's money via the Covid…",0,44,2021-09-06 23:58:44,0.2,Positive
